Zip,Multiple Counties,County,Rate
43416,*,Sandusky,0.0725
43420,*,Ottawa,0.07
43420,*,Sandusky,0.0725
43430,*,Ottawa,0.07
43430,*,Sandusky,0.0725
43430,*,Wood,0.0675
43431,*,Sandusky,0.0725
43431,*,Wood,0.0675
43432,,Ottawa,0.07
43433,,Ottawa,0.07
43434,,Lucas,0.0775
43435,,Sandusky,0.0725
43436,,Ottawa,0.07
43437,,Wood,0.0675
43438,,Erie,0.0675
43439,,Ottawa,0.07
43440,,Ottawa,0.07
43441,,Wood,0.0675
43442,*,Ottawa,0.07
43442,*,Sandusky,0.0725
43443,*,Sandusky,0.0725
43443,*,Wood,0.0675
43445,*,Lucas,0.0775
43445,*,Ottawa,0.07
43446,,Ottawa,0.07
43447,*,Ottawa,0.07
43447,*,Wood,0.0675
43449,*,Ottawa,0.07
43449,*,Sandusky,0.0725
43450,*,Sandusky,0.0725
43450,*,Wood,0.0675
43451,,Wood,0.0675
43452,,Ottawa,0.07
43456,,Ottawa,0.07
43457,*,Sandusky,0.0725
43457,*,Seneca,0.0725
43457,*,Wood,0.0675
43458,,Ottawa,0.07
43460,*,Lucas,0.0775
43460,*,Wood,0.0675
43460,*,Wood (TARTA),0.0725
43462,,Wood,0.0675
43463,,Wood,0.0675
43464,*,Erie,0.0675
43464,*,Sandusky,0.0725
43465,,Wood,0.0675
43466,,Wood,0.0675
43467,,Wood,0.0675
43468,,Ottawa,0.07
43469,*,Ottawa,0.07
43469,*,Sandusky,0.0725
43469,*,Wood,0.0675
43501,,Williams,0.0725
43502,*,Fulton,0.0725
43502,*,Henry,0.0725
43502,*,Williams,0.0725
43504,*,Fulton,0.0725
43504,*,Lucas,0.0775
43505,,Williams,0.0725
43506,*,Defiance,0.0675
43506,*,Williams,0.0725
43510,,Henry,0.0725
43511,*,Henry,0.0725
43511,*,Wood,0.0675
43512,*,Defiance,0.0675
43512,*,Henry,0.0725
43512,*,Paulding,0.0725
43512,*,Williams,0.0725
43515,*,Fulton,0.0725
43515,*,Henry,0.0725
43516,*,Hancock,0.0675
43516,*,Henry,0.0725
43516,*,Putnam,0.07
43516,*,Wood,0.0675
43517,*,Defiance,0.0675
43517,*,Williams,0.0725
43518,,Williams,0.0725
43519,,Defiance,0.0675
43520,,Defiance,0.0675
43521,*,Fulton,0.0725
43521,*,Williams,0.0725
43522,*,Henry,0.0725
43522,*,Lucas,0.0775
43522,*,Wood,0.0675
43523,,Henry,0.0725
43524,,Henry,0.0725
43525,,Wood,0.0675
43526,*,Defiance,0.0675
43526,*,Paulding,0.0725
43527,*,Defiance,0.0675
43527,*,Henry,0.0725
43528,,Lucas,0.0775
43529,,Wood,0.0675
43530,,Defiance,0.0675
43531,,Williams,0.0725
43532,*,Fulton,0.0725
43532,*,Henry,0.0725
43532,*,Lucas,0.0775
43533,,Fulton,0.0725
43534,*,Henry,0.0725
43534,*,Wood,0.0675
43535,,Henry,0.0725
43536,,Defiance,0.0675
43537,,Lucas,0.0775
43540,,Fulton,0.0725
43541,,Wood,0.0675
43542,,Lucas,0.0775
43543,,Williams,0.0725
43545,*,Defiance,0.0675
43545,*,Fulton,0.0725
43545,*,Henry,0.0725
43547,,Lucas,0.0775
43548,*,Defiance,0.0675
43548,*,Henry,0.0725
43548,*,Putnam,0.07
43549,,Defiance,0.0675
43551,*,Wood,0.0675
43551,*,Wood (TARTA),0.0725
43552,,Wood,0.0675
43553,,Fulton,0.0725
43554,,Williams,0.0725
43555,,Henry,0.0725
43556,*,Defiance,0.0675
43556,*,Paulding,0.0725
43557,*,Fulton,0.0725
43557,*,Henry,0.0725
43557,*,Williams,0.0725
43558,*,Fulton,0.0725
43558,*,Lucas,0.0775
43560,,Lucas,0.0775
43565,,Wood,0.0675
43566,,Lucas,0.0775
43567,*,Fulton,0.0725
43567,*,Henry,0.0725
43569,,Wood,0.0675
43570,*,Fulton,0.0725
43570,*,Williams,0.0725
43571,,Lucas,0.0775
43601,,Lucas,0.0775
43603,,Lucas,0.0775
43604,,Lucas,0.0775
43605,*,Lucas,0.0775
43605,*,Wood,0.0675
43606,,Lucas,0.0775
43607,,Lucas,0.0775
43608,,Lucas,0.0775
43609,,Lucas,0.0775
43610,,Lucas,0.0775
43611,,Lucas,0.0775
43612,,Lucas,0.0775
43613,,Lucas,0.0775
43614,,Lucas,0.0775
43615,,Lucas,0.0775
43616,*,Lucas,0.0775
43616,*,Wood,0.0675
43617,,Lucas,0.0775
43619,*,Lucas,0.0775
43619,*,Wood,0.0675
43619,*,Wood (TARTA),0.0725
43620,,Lucas,0.0775
43623,,Lucas,0.0775
43635,,Lucas,0.0775
43652,,Lucas,0.0775
43654,,Lucas,0.0775
43657,,Lucas,0.0775
43659,,Lucas,0.0775
43660,,Lucas,0.0775
43667,,Lucas,0.0775
43681,,Lucas,0.0775
43682,,Lucas,0.0775
43697,,Lucas,0.0775
43699,,Lucas,0.0775
43701,,Muskingum,0.0725
43702,,Muskingum,0.0725
43711,,Noble,0.0725
43713,,Belmont,0.0725
43716,*,Belmont,0.0725
43716,*,Monroe,0.0725
43717,,Noble,0.0725
43718,,Belmont,0.0725
43719,,Belmont,0.0725
43720,*,Morgan,0.0725
43720,*,Muskingum,0.0725
43721,,Licking,0.0725
43722,,Guernsey,0.0725
